gid2015,income_pp,income_rank
Eschweiler,20336,375
Herten,20213,376
Gronau (Westf.),20046,377
Übach-Palenberg,20044,378
Düren,20032,379
Oberhausen,19926,380
Kamp-Lintfort,19863,381
Lünen,19608,382
Oer-Erkenschwick,19582,383
Hamm,19514,384
Gladbeck,19456,385
Augustdorf,19 129,386
Weeze,19083,387
Emmerich am Rhein,18976,388
Bergkamen,18970,389
Herne,18826,390
Hückelhoven,18761,391
Duisburg,18362,392
Kleve,18345,393
Alsdorf,18303,394
Kranenburg,17800,395
Gelsenkirchen,17635,396
